elapsed_s,vmpeak_kb,vmhwm_kb,vmrss_kb,job_status
0.0,2517060,2051744,2051744,running
0.506,2517060,2073008,2073008,running
1.153,2517060,2126608,2126608,running
1.657,2539588,2158420,2158424,running
2.169,2546756,2166700,2166700,running
2.745,2549828,2170368,2170368,running
3.247,2553924,2173880,2173880,running
3.749,2555988,2176500,2176500,running
4.251,2558068,2178240,2178240,running
4.798,2561140,2181368,2181368,running
5.315,2563188,2183804,2183804,running
5.861,2567284,2187424,2187424,running
6.381,2569332,2190168,2190168,running
6.936,2573428,2193832,2193832,running
7.504,2576532,2197120,2197120,running
8.03,2578580,2199292,2199292,running
8.542,2581652,2202020,2202020,running
9.09,2583700,2203988,2203988,running
9.595,2586772,2207116,2207116,running
10.149,2588820,2209904,2209904,running
10.65,2590900,2211824,2211824,running
11.206,2592948,2214232,2214232,running
11.762,2597044,2217600,2217600,running
12.274,2597044,2217600,2217600,running
13.097,2601140,2221404,2221432,running
13.603,2603188,2223940,2223940,running
14.13,2605236,2226020,2226020,running
14.81,2607284,2228260,2228260,running
15.358,2610388,2231092,2231092,running
15.915,2612436,2232876,2232876,running
16.462,2614484,2235584,2235592,running
16.965,2617556,2238096,2238096,running
17.468,2619604,2239956,2239956,running
17.98,2620628,2241784,2241784,running
18.487,2623700,2244072,2244072,running
19.014,2625780,2246468,2246468,running
19.54,2628852,2249212,2249212,running
20.069,2630900,2252204,2252204,running
20.628,2633972,2254372,2254372,running
21.168,2637044,2257372,2257372,running
21.791,2640116,2261404,2261404,running
22.35,2643188,2263888,2263888,running
22.907,2645268,2266552,2266552,running
23.435,2647316,2268412,2268412,running
23.975,2649364,2270816,2270816,running
24.509,2652436,2273524,2273524,running
25.039,2653460,2274448,2274448,running
25.56,2654484,2276048,2276048,running
26.162,2657556,2279176,2279176,running
26.697,2661684,2282584,2282584,running
27.216,2663732,2285532,2285532,running
27.784,2666804,2288316,2288316,running
28.322,2666804,2288672,2288672,running
28.893,2668852,2290772,2290772,running
29.487,2672948,2294596,2294596,running
30.023,2674996,2296440,2296440,running
30.637,2678100,2300132,2300132,running
31.172,2678100,2300140,2300140,running
31.696,2681172,2303336,2303336,running
32.255,2685268,2306660,2306660,running
32.777,2687316,2308572,2308576,running
33.279,2688340,2310704,2310704,running
33.842,2691412,2313848,2313848,running
34.411,2694484,2316964,2316964,running
34.955,2695508,2317716,2317716,running
35.502,2697588,2319700,2319700,running
36.086,2700660,2323224,2323224,running
36.632,2703732,2325512,2325512,running
37.167,2703732,2325520,2325520,running
37.688,2706804,2329156,2329156,running
38.231,2708852,2331856,2331856,running
38.761,2708852,2331856,2331856,running
39.382,2708852,2331940,2331940,running
39.998,2711956,2335108,2335108,running
40.565,2716052,2338588,2338588,running
41.115,2717076,2339524,2339524,running
41.627,2719124,2342468,2342468,running
42.178,2723220,2345660,2345660,running
42.743,2723220,2346168,2346168,running
43.291,2726292,2349240,2349240,running
43.833,2729364,2352872,2352872,running
44.363,2729364,2353008,2353008,running
44.888,2733492,2356300,2356300,running
45.454,2736564,2360356,2360356,running
45.986,2736564,2360428,2360428,running
46.514,2740660,2364140,2364140,running
47.075,2741684,2364908,2364908,running
47.592,2743732,2367880,2367880,running
48.168,2748852,2372300,2372300,running
48.687,2760116,2384440,2384440,running
49.227,2770356,2395800,2395800,running
49.788,2782644,2408012,2408012,running
50.336,2794936,2420692,2420692,running
50.84,2805176,2431024,2431028,running
51.346,2819512,2445120,2445120,running
51.852,2827704,2453096,2453096,running
52.783,2838968,2464788,2464788,running
53.351,2851256,2476956,2476956,running
53.853,2860472,2486924,2486928,running
54.354,2874808,2501328,2501328,running
54.928,2889144,2515520,2515520,running
55.516,2902456,2528908,2528908,running
56.07,2912696,2543132,2543136,running
56.573,2929080,2566968,2566980,running
57.077,2941368,2586280,2586280,running
57.666,3076536,2604880,2604880,running
58.182,3076536,2612364,2612364,running
58.931,3076536,2630440,2630440,running
59.433,3076536,2647192,2647192,running
59.934,3076536,2661268,2661268,running
60.437,3076536,2675024,2675024,running
60.939,3083704,2686564,2686564,running
61.441,3092920,2698076,2698080,running
61.943,3103160,2710268,2710268,running
62.473,3114424,2723732,2723732,running
63.0,3121592,2731924,2731924,running
63.503,3132856,2744808,2744808,running
64.04,3145144,2759792,2759792,running
64.595,3145144,2760948,2760948,running
65.097,3145144,2761996,2761996,running
66.306,3145144,2763516,2763516,running
66.812,3145144,2764612,2764612,running
67.372,3145144,2765776,2765776,running
67.975,3145144,2766916,2766916,running
68.503,3145144,2767960,2767960,running
69.067,3145144,2777104,2777104,running
69.569,3145728,2791212,2791212,running
70.907,3145728,2790508,2192412,failed
