elapsed_s,vmpeak_kb,vmhwm_kb,vmrss_kb,job_status
0.0,3565104,3110768,2470312,running
0.875,3565104,3110768,2503592,running
1.381,3565104,3110768,2524980,running
1.883,3565104,3110768,2524980,running
2.384,3565104,3110768,2573308,running
2.893,3565104,3110768,2678296,running
4.223,3565104,3110768,2541184,running
4.725,3565104,3110768,2541184,running
5.226,3565104,3110768,2606956,running
5.759,3565104,3110768,2714768,running
6.381,3565104,3110768,2546700,running
6.883,3565104,3110768,2557740,running
7.385,3565104,3110768,2652872,running
8.507,3565104,3110768,2589324,running
9.014,3565104,3110768,1755400,running
9.534,3565104,3110768,1751304,running
10.038,3565104,3110768,1751304,running
10.54,3565104,3110768,1751312,running
11.042,3565104,3110768,1751312,running
11.578,3565104,3110768,1751312,running
12.101,3565104,3110768,1751312,running
12.615,3565104,3110768,1750292,running
13.192,3565104,3110768,1750304,running
13.695,3565104,3110768,1750304,running
14.211,3565104,3110768,1750304,running
14.713,3565104,3110768,1750304,running
15.305,3565104,3110768,1750276,running
15.841,3565104,3110768,1750280,running
16.372,3565104,3110768,1749256,running
16.89,3565104,3110768,1749268,running
17.393,3565104,3110768,1749268,running
17.899,3565104,3110768,1749272,running
18.485,3565104,3110768,1749272,running
19.039,3565104,3110768,1749280,running
19.566,3565104,3110768,1749292,running
20.07,3565104,3110768,1749292,running
20.659,3565104,3110768,1766804,running
21.212,3565104,3110768,1799216,running
21.766,3565104,3110768,1803120,running
22.271,3565104,3110768,1803120,running
22.776,3565104,3110768,1803120,running
23.307,3565104,3110768,1803120,running
23.856,3565104,3110768,1789768,ok
