elapsed_s,vmpeak_kb,vmhwm_kb,vmrss_kb,job_status
0.0,1833040,1457712,1457712,running
0.511,1872976,1513756,1513760,running
1.013,1893440,1541560,1541560,running
1.596,2033728,1595728,1595732,running
2.098,2037824,1653020,1653024,running
2.605,2055232,1676832,1676832,running
3.203,2094144,1732704,1732704,running
3.709,2260032,1786260,1786268,running
4.212,2260032,1824748,1824748,running
4.974,2266176,1882064,1882068,running
5.476,2305088,1937936,1937940,running
5.984,2339920,1986172,1986172,running
6.851,2485328,2041744,2041748,running
7.353,2485328,2094052,2094056,running
7.854,2520144,2148036,2148040,running
8.356,2534480,2168700,2168700,running
9.03,2565200,2213312,2213312,running
9.554,2570320,2219888,2219900,running
10.056,2574416,2223544,2223544,running
10.577,2576464,2225912,2225912,running
11.158,2580560,2229356,2229356,running
11.695,2582640,2231584,2231584,running
12.338,2585712,2234824,2234824,running
12.894,2587760,2237028,2237028,running
13.421,2589808,2239196,2239196,running
13.952,2592880,2241576,2241576,running
14.483,2595952,2245128,2245128,running
15.047,2599056,2248672,2248672,running
15.581,2601104,2249840,2249840,running
16.124,2604176,2253696,2253696,running
16.707,2607248,2256136,2256136,running
17.209,2608272,2257728,2257728,running
17.769,2610320,2259784,2259784,running
18.271,2612400,2262000,2262000,running
18.816,2614448,2263772,2263772,running
19.343,2618544,2267424,2267424,running
19.889,2620592,2269696,2269696,running
20.409,2622640,2272260,2272260,running
20.974,2624688,2273684,2273684,running
21.498,2627760,2277380,2277380,running
22.0,2630864,2279664,2279664,running
22.536,2631888,2281512,2281512,running
23.075,2633936,2283548,2283548,running
23.592,2635984,2284952,2284952,running
24.131,2638032,2286792,2286792,running
24.658,2640080,2288964,2288964,running
25.246,2641104,2290732,2290732,running
25.819,2644208,2293820,2293820,running
26.369,2646256,2295280,2295280,running
26.947,2648304,2297292,2297292,running
27.612,2648304,2297468,2297468,running
28.144,2650352,2299696,2299696,running
28.674,2653424,2302772,2302772,running
29.2,2656496,2305216,2305216,running
29.745,2658544,2308176,2308176,running
30.32,2661648,2310372,2310372,running
30.864,2663696,2312772,2312772,running
31.418,2665744,2315360,2315360,running
31.953,2667792,2317264,2317264,running
32.456,2668816,2318424,2318424,running
33.009,2670864,2320160,2320160,running
33.582,2672912,2322184,2322184,running
34.124,2676016,2324976,2324976,running
34.658,2678064,2327468,2327468,running
35.191,2678064,2327644,2327644,running
35.719,2681136,2330504,2330504,running
36.293,2683184,2332180,2332180,running
36.833,2685232,2335176,2335176,running
37.368,2689328,2338408,2338408,running
37.916,2689328,2338544,2338544,running
38.461,2692432,2341700,2341700,running
39.238,2693456,2343712,2343712,running
39.777,2697552,2347276,2347276,running
40.537,2700624,2351120,2351120,running
41.116,2703696,2353508,2353508,running
41.619,2703696,2353608,2353608,running
42.147,2706768,2356488,2356488,running
42.685,2709872,2359596,2359596,running
43.233,2709872,2359604,2359604,running
43.787,2711920,2362720,2362720,running
44.319,2714992,2365908,2365908,running
44.835,2714992,2365908,2365908,running
45.371,2719088,2369688,2369688,running
45.945,2722160,2372540,2372540,running
46.452,2722160,2372612,2372612,running
47.06,2725264,2376272,2376272,running
47.655,2728336,2379460,2379460,running
48.187,2728336,2379864,2379864,running
48.742,2731408,2382476,2382476,running
49.303,2734480,2386088,2386088,running
49.856,2735504,2386348,2386348,running
50.399,2737552,2389356,2389356,running
50.918,2740624,2392428,2392428,running
51.45,2740624,2392540,2392540,running
52.002,2744752,2396736,2396736,running
52.538,2747824,2399848,2399848,running
53.144,2747824,2399920,2399920,running
53.699,2750896,2403172,2403172,running
54.218,2753968,2405312,2405320,running
54.723,2754992,2406980,2406980,running
55.268,2759088,2410596,2410596,running
55.794,2759088,2410596,2410596,running
56.415,2901424,2422668,2422668,running
56.96,2901424,2435024,2435024,running
57.534,2901424,2447060,2447060,running
58.035,2901424,2458900,2458900,running
58.542,2901424,2471688,2471688,running
59.111,2901424,2486116,2486120,running
59.613,2909620,2498016,2498016,running
60.19,2922932,2512228,2512228,running
60.692,2935220,2524344,2524344,running
61.194,2946484,2535760,2535760,running
61.697,2949556,2538700,2538700,running
62.518,2963892,2553516,2553516,running
63.03,2974132,2563944,2563948,running
63.532,2988468,2578384,2578384,running
64.034,2997684,2588160,2588160,running
64.573,3008948,2600032,2600032,running
65.075,3025332,2617104,2617104,running
