elapsed_s,health_http_status,health_latency_s,vmpeak_kb,vmhwm_kb,job_status
0.0,200,0.1283,2596208,2038228,running
1.129,200,0.1746,2596208,2038228,running
2.305,200,0.1918,2596208,2038228,running
3.498,200,0.1582,2596208,2038228,running
4.657,200,0.176,2596208,2038228,running
5.834,200,0.0953,2596208,2038228,running
6.931,200,0.2134,2596208,2038228,running
8.148,200,0.167,2596208,2038228,running
9.316,200,0.1929,2596208,2038228,running
10.515,200,0.1012,2596208,2038228,running
11.781,200,0.0978,2596208,2038228,running
12.88,200,0.1153,2596208,2038228,running
13.997,200,0.2615,2596208,2038228,running
15.263,200,0.1199,2596208,2038228,running
16.383,200,0.0973,2596208,2038228,running
17.482,200,0.1012,2596208,2038228,running
18.584,200,0.1044,2596208,2038228,running
19.689,200,0.1132,2596208,2038228,running
20.804,200,0.1798,2596208,2038228,running
22.003,200,0.257,2596208,2038228,running
23.261,200,0.3588,2596208,2038228,running
24.621,200,0.3303,2596208,2038228,running
25.952,200,0.1041,2596208,2038228,running
27.058,200,0.1062,2596208,2038228,running
28.165,200,0.1059,2596208,2038228,running
29.274,200,0.3729,2596208,2038228,running
30.647,200,0.1105,2596208,2038228,running
31.759,200,0.1057,2596208,2038228,running
32.866,200,0.2859,2600728,2038228,running
34.153,200,1.297,2696344,2038228,running
36.451,200,0.1409,2871660,2084748,running
37.593,200,0.1369,2898540,2112204,running
38.731,200,0.1327,2927212,2140640,running
39.865,200,0.1194,2942572,2156552,running
40.985,200,0.1108,2969196,2182884,running
42.097,200,0.19,2982472,2195828,running
43.288,200,0.1389,2982472,2196000,running
44.447,200,0.1314,2982472,2196000,running
45.579,200,0.1216,2986612,2196128,running
46.705,200,0.7208,3100072,2311716,running
48.427,200,1.0548,3100072,2311716,running
50.52,200,0.1396,3100072,2311716,running
51.661,200,0.1563,3100072,2311716,running
52.821,200,0.1199,3100072,2311716,running
53.942,200,0.1273,3100072,2311716,running
55.071,200,0.381,3100072,2311716,running
56.454,200,0.1374,3100072,2311716,running
57.593,200,0.1824,3100072,2311716,running
58.776,200,1.0769,3100072,2311716,running
60.854,200,0.1824,3100072,2311716,running
62.038,200,0.1563,3100072,2311716,running
63.21,200,0.1738,3100072,2311716,running
64.384,200,0.128,3100072,2311716,running
65.513,200,0.1288,3100072,2311716,running
66.643,200,0.1223,3100072,2311716,running
67.766,200,0.1312,3100072,2311716,running
68.898,200,0.1283,3100072,2311716,running
70.028,200,0.1321,3100072,2311716,running
71.161,200,0.1362,3100072,2311716,running
72.298,200,0.1353,3100072,2311716,running
73.435,200,0.1275,3100072,2311716,running
74.563,200,0.2876,3100072,2311716,running
75.852,200,0.1558,3100072,2311716,running
77.011,200,0.1217,3100072,2311716,running
78.134,200,0.1148,3100072,2311716,running
79.249,200,0.5459,3100072,2311716,running
80.797,200,0.167,3100072,2311716,running
81.965,200,0.7968,3100072,2311716,ok
