elapsed_s,health_http_status,health_latency_s,vmpeak_kb,vmhwm_kb,job_status
0.0,200,0.1872,1975732,1435424,running
1.188,200,0.094,1975732,1435424,running
2.283,200,0.1001,1975732,1435424,running
3.387,200,0.0955,1975732,1435424,running
4.485,200,0.2305,1975732,1435424,running
5.717,200,0.2375,1975732,1435424,running
6.955,200,0.0969,1975732,1435424,running
8.056,200,0.1027,2027152,1471568,running
9.16,200,1.4769,2344432,1661020,running
11.638,200,0.1927,2575844,1880308,running
12.832,200,0.1677,2575844,1880052,running
14.008,200,0.1228,2575844,1894384,running
15.132,200,0.1701,2575844,1959592,running
16.303,200,0.4831,2596208,2038172,running
17.795,200,0.443,2596208,2038172,running
19.239,200,0.4001,2596208,2038228,running
20.652,200,0.723,2596208,2038228,running
22.404,200,0.1668,2596208,2038228,running
23.572,200,0.2663,2596208,2038228,running
24.839,200,0.1298,2596208,2038228,running
25.97,200,0.1442,2596208,2038228,running
27.115,200,0.1159,2596208,2038228,running
28.232,200,0.2056,2596208,2038228,running
29.439,200,0.1897,2596208,2038228,running
30.63,200,0.2271,2596208,2038228,ok
