elapsed_s,health_http_status,health_latency_s,vmpeak_kb,vmhwm_kb,job_status
0.0,200,0.3908,1925756,1557448,running
1.395,200,0.5912,1931932,1566480,running
2.988,200,0.4456,1936028,1570468,running
4.435,200,0.6003,1941148,1575028,running
6.036,200,0.8307,1948348,1584224,running
7.868,200,0.8794,1953468,1591812,running
9.773,200,0.7666,1957564,1591812,running
11.566,200,0.2525,1962716,1597776,running
12.819,200,0.8255,1966812,1602600,running
14.661,200,0.2351,1970908,1606892,running
15.898,200,0.9569,1976060,1611736,running
17.902,200,0.2623,1984252,1619428,running
19.166,200,0.2572,1999612,1636508,running
20.424,200,0.1648,2016000,1655228,running
21.59,200,0.2712,2032384,1674160,running
22.863,200,0.2417,2044672,1688768,running
24.105,200,0.2925,2066176,1713744,running
25.399,200,0.2167,2083584,1734312,running
26.617,200,0.1764,2100992,1755144,running
27.795,200,0.69,2122496,1779572,running
29.486,200,0.1937,2141952,1802652,running
30.681,200,0.2267,2162432,1826420,running
31.908,200,0.1983,2183936,1850984,running
33.108,200,0.4129,2328320,1868696,running
34.522,200,0.4306,2328320,1892088,running
35.956,200,0.2179,2328320,1911704,running
37.175,200,0.2078,2328320,1931732,running
38.384,200,0.195,2340608,1956560,running
39.58,200,0.3324,2349824,1967156,running
40.914,200,0.224,2358048,1976296,running
42.139,200,0.1774,2358048,1976296,running
43.318,200,0.184,2358048,1976296,running
44.503,200,0.1773,2358048,1976296,running
45.681,200,0.1799,2358048,1976296,running
46.863,200,0.2162,2358048,1976296,running
48.08,200,0.5537,2358048,1976296,running
49.635,200,0.164,2358048,1976296,running
50.8,200,0.4654,2358048,1976296,running
52.266,200,0.1134,2358048,1976296,running
53.381,200,0.1336,2358048,1976296,running
54.516,200,0.1171,2358048,1976296,running
55.634,200,0.1725,2358048,1976296,running
56.807,200,0.1751,2358048,1976296,running
57.984,200,0.1343,2358048,1976296,running
59.119,200,0.1179,2358048,1976296,running
60.238,200,0.1493,2358048,1976296,running
61.388,200,0.1514,2358048,1976296,running
62.541,200,0.1512,2358048,1976296,running
63.693,200,0.595,2358048,1976296,running
65.289,200,0.122,2358048,1976296,running
66.412,200,0.1356,2358048,1976296,running
67.549,200,0.1748,2358048,1976296,running
68.725,200,0.1741,2358048,1976296,running
69.9,200,2.5375,2486104,2010704,running
73.485,200,1.0805,2486104,2048788,running
75.567,200,0.2275,2625972,2209472,running
76.795,200,0.8356,2625972,2209472,running
78.633,200,0.2179,2625972,2209472,running
79.852,200,0.226,2691912,2272980,running
81.079,200,1.0968,2820992,2404540,running
83.177,200,0.4644,2820992,2404540,running
84.696,200,0.3244,2820992,2404540,running
86.022,200,0.9707,2820992,2404540,running
87.994,200,0.4045,2820992,2404540,running
89.4,200,0.5437,2820992,2404540,running
90.966,200,0.2251,2820992,2404540,running
92.192,200,1.4483,2820992,2404540,running
94.643,200,1.3817,2820992,2404540,running
97.026,200,0.2854,2820992,2404540,running
98.313,200,0.2391,2820992,2404540,running
99.553,200,0.8255,2820992,2404540,running
101.38,200,0.2153,2820992,2404540,running
102.599,200,0.304,2820992,2404540,running
103.904,200,0.9131,2820992,2404540,running
105.818,200,0.2587,2820992,2404540,running
107.077,200,0.2864,2834440,2435724,running
108.365,200,0.3082,2834440,2435724,running
109.674,200,0.4534,2834440,2435724,running
111.129,200,0.163,2834440,2435724,running
112.293,200,0.1642,2834440,2435724,running
113.458,200,0.763,2834440,2435480,ok
