elapsed_s,dates_done,status
0.0,0,running
0.1009,1,running
0.2051,1,running
0.3091,1,running
0.4111,1,running
0.5155,1,running
0.6262,1,running
0.7449,1,running
0.8866,1,running
1.0366,1,running
1.2005,1,running
1.375,1,running
1.4774,1,running
1.5801,1,running
1.6823,1,running
1.792,1,running
1.8935,1,running
2.0363,1,running
2.139,1,running
2.3057,1,running
2.409,1,running
2.5927,1,running
2.6948,1,running
2.7987,1,running
2.9428,1,running
3.0468,1,running
3.1489,1,running
3.3308,1,running
3.4331,1,running
3.537,1,running
3.7571,1,running
3.8592,1,running
3.9609,1,running
4.0629,1,running
4.2259,1,running
4.3273,1,running
4.4296,1,running
4.5333,1,running
4.7442,1,running
4.8477,1,running
4.9497,1,running
5.0529,1,running
5.1565,1,running
5.3647,1,running
5.4677,1,running
5.5692,1,running
5.6709,1,running
5.7732,1,running
6.0438,1,running
6.1477,1,running
6.2496,1,running
6.3516,1,running
6.4542,1,running
6.5583,1,running
6.802,1,running
6.9059,1,running
7.0093,1,running
7.1109,1,running
7.2125,1,running
7.3142,1,running
7.6411,1,running
7.7435,1,running
7.8447,1,running
7.9461,1,running
8.048,1,running
8.1494,1,running
8.2522,1,running
8.6287,1,running
8.8714,1,running
9.0702,1,running
9.2809,1,running
9.534,1,running
9.8211,1,running
10.0011,1,running
10.2119,1,running
10.3704,1,running
10.5788,1,running
10.9045,1,running
11.167,1,running
11.326,1,running
11.7102,1,running
11.8533,1,running
11.9888,1,running
12.2905,1,running
12.7412,1,running
12.9408,1,running
13.054,1,running
13.2005,1,running
13.5693,1,running
14.0081,1,running
14.1579,1,running
14.3063,1,running
14.4372,1,running
14.5683,1,running
14.6983,1,running
14.8295,1,running
14.9706,1,running
15.1249,1,running
15.3562,1,running
15.4956,1,running
15.9009,1,running
16.1059,1,running
16.2907,1,running
16.564,1,running
16.8751,1,running
17.1003,1,running
17.2876,1,running
17.4558,1,running
17.674,1,running
17.9562,1,running
18.1672,1,running
18.458,1,running
19.178,1,running
19.5894,1,running
19.7512,1,running
19.9203,1,running
20.159,1,running
20.3041,1,running
20.433,1,running
20.6035,1,running
20.8603,1,running
21.3288,1,running
21.5546,1,running
21.9998,1,running
22.1692,1,running
22.391,1,running
22.5356,1,running
22.8076,1,running
23.105,1,running
23.4188,1,running
23.5491,1,running
23.6822,1,running
23.8731,1,running
24.037,2,running
24.172,2,running
24.3307,3,running
24.4472,3,running
24.5903,4,running
24.7233,4,running
24.8605,5,running
24.9947,5,running
25.1201,6,running
25.2413,6,running
25.3661,7,running
25.4793,7,running
25.6106,8,running
25.7208,8,running
25.8524,9,running
25.9611,9,running
26.0899,10,running
26.2065,10,running
26.3339,11,running
26.4514,11,running
26.5768,12,running
26.5898,12,KILLED
