elapsed_s,health_http_status,health_latency_s,vmpeak_kb,vmhwm_kb,job_status
0.0,200,0.1234,2349744,1842080,running
1.124,200,0.3613,2495152,1987816,running
2.572,200,0.8083,2570724,2013728,running
4.381,200,0.1356,2713480,2172376,running
5.518,200,0.7769,2713480,2173160,running
7.344,200,0.1326,2713480,2173160,running
8.478,200,0.1321,2713480,2172164,running
9.611,200,0.1799,2713480,2172164,running
10.813,200,0.1794,2713480,2173200,running
11.993,200,0.1671,2713480,2173200,running
13.161,200,0.2056,2713496,2173212,running
14.368,200,0.1553,2713496,2173216,running
15.524,200,0.241,2713496,2173216,running
16.766,200,0.4201,2713496,2173216,running
18.188,200,0.2929,2713496,2173216,running
19.482,200,0.3434,2713496,2173216,running
20.868,200,0.1452,2713600,2173636,running
22.014,200,0.2517,2713600,2173676,running
23.268,200,0.2363,2713600,2173672,running
24.505,200,0.1495,2713600,2173624,running
25.656,200,0.4943,2713600,2173584,running
27.152,200,0.4833,2713600,2173688,running
28.637,200,0.51,2713600,2173688,running
30.149,200,0.4658,2713600,2173672,running
31.616,200,0.1972,2713600,2173568,running
32.815,200,0.4317,2713600,2173664,running
34.248,200,0.6303,2713600,2173688,running
35.88,200,0.4954,2713600,2172488,ok
