elapsed_s,health_http_status,health_latency_s,vmpeak_kb,vmhwm_kb,job_status,phase
0.0,200,0.0084,691528,106752,ok,pre_terminal
1.01,200,0.0061,691528,106776,ok,post_terminal
2.017,200,0.0084,691528,106788,ok,post_terminal
3.027,200,0.0064,691528,106796,ok,post_terminal
4.034,200,0.01,691528,106796,ok,post_terminal
5.045,200,0.0062,691528,106800,ok,post_terminal
6.053,200,0.006,691528,106808,ok,post_terminal
7.06,200,0.0079,691528,106820,ok,post_terminal
8.068,200,0.0541,691528,106824,ok,post_terminal
9.124,200,0.0051,691528,106824,ok,post_terminal
10.13,200,0.0078,691528,106828,ok,post_terminal
11.139,200,0.01,691528,106832,ok,post_terminal
12.151,200,0.0094,691528,106840,ok,post_terminal
13.161,200,0.0072,691528,106840,ok,post_terminal
14.17,200,0.0045,691528,106852,ok,post_terminal
15.176,200,0.006,691528,106856,ok,post_terminal
16.183,200,0.0037,691528,106860,ok,post_terminal
17.188,200,0.0408,691528,106872,ok,post_terminal
18.23,200,0.0047,691528,106872,ok,post_terminal
19.235,200,0.0033,691528,106952,ok,post_terminal
20.244,200,0.0055,691528,106952,ok,post_terminal
21.251,200,0.007,691528,106952,ok,post_terminal
22.259,200,0.007,691528,106952,ok,post_terminal
23.267,200,0.0039,691528,106952,ok,post_terminal
24.272,200,0.0082,691528,106952,ok,post_terminal
25.281,200,0.0091,691528,106952,ok,post_terminal
26.291,200,0.0304,691528,106952,ok,post_terminal
27.322,200,0.0062,691528,106952,ok,post_terminal
28.33,200,0.0082,691528,106952,ok,post_terminal
29.339,200,0.0064,691528,106952,ok,post_terminal
30.346,200,0.0081,691528,106952,ok,post_terminal
