epoch_ms,http_code,total_s,connect_s,ttfb_s
1786157903917,200,0.133,0.001,0.133
1786157904917,200,0.098,0.000,0.098
1786157905917,200,0.098,0.000,0.098
1786157906917,200,0.154,0.000,0.154
1786157907917,200,0.364,0.000,0.364
1786157908917,200,0.430,0.000,0.430
1786157909917,200,0.271,0.000,0.271
1786157910917,200,0.490,0.000,0.490
1786157911917,200,0.411,0.000,0.411
1786157912917,200,0.108,0.000,0.108
1786157913917,200,0.142,0.000,0.142
1786157914917,200,0.608,0.000,0.608
1786157915917,200,0.387,0.000,0.387
1786157916918,200,0.262,0.000,0.262
1786157917918,200,0.435,0.000,0.435
1786157918918,200,0.403,0.000,0.403
1786157919918,200,0.313,0.000,0.313
1786157920918,200,0.228,0.000,0.228
1786157921918,200,0.169,0.000,0.169
1786157922918,200,0.125,0.000,0.125
1786157923918,200,0.359,0.000,0.359
1786157924918,200,0.165,0.000,0.165
1786157925918,200,0.535,0.000,0.535
1786157926918,200,0.374,0.000,0.374
1786157927918,200,0.448,0.000,0.448
1786157928918,200,0.443,0.000,0.443
1786157929919,200,0.510,0.000,0.510
1786157930919,200,0.280,0.000,0.280
1786157931919,200,0.209,0.000,0.209
1786157932919,200,0.540,0.000,0.540
1786157933919,200,0.144,0.000,0.144
1786157934919,200,0.517,0.000,0.517
1786157935919,200,0.372,0.000,0.372
1786157936919,200,0.143,0.000,0.142
1786157937919,200,0.443,0.000,0.443
1786157938919,200,0.330,0.000,0.330
1786157939919,200,0.268,0.000,0.268
1786157940919,200,0.149,0.000,0.149
1786157941919,200,0.347,0.000,0.347
1786157942919,200,0.270,0.000,0.270
1786157943920,200,0.419,0.000,0.419
1786157944920,200,0.535,0.000,0.535
1786157945920,200,0.631,0.000,0.631
1786157946920,200,0.514,0.000,0.514
1786157947920,200,0.605,0.000,0.605
1786157948920,200,0.140,0.000,0.140
1786157949920,200,0.116,0.000,0.116
1786157950920,200,0.375,0.000,0.375
1786157951920,200,0.156,0.000,0.156
1786157952920,200,0.214,0.000,0.214
1786157953920,200,0.311,0.000,0.311
1786157954920,200,0.645,0.000,0.645
1786157955920,200,0.119,0.000,0.119
1786157956921,200,0.380,0.000,0.380
1786157957921,200,0.185,0.000,0.185
1786157958921,200,0.099,0.000,0.099
1786157959921,200,0.258,0.000,0.258
1786157960921,200,0.160,0.000,0.160
1786157961921,200,0.207,0.000,0.207
1786157962921,200,0.176,0.000,0.176
1786157963921,200,0.184,0.000,0.184
1786157964921,200,0.145,0.000,0.145
1786157965921,200,0.133,0.000,0.133
1786157966921,200,0.150,0.000,0.150
1786157967921,200,0.100,0.000,0.099
1786157968921,200,0.812,0.000,0.812
1786157969921,200,0.212,0.000,0.212
1786157970922,200,0.101,0.000,0.101
1786157971922,200,0.244,0.000,0.244
1786157972922,200,0.230,0.000,0.230
1786157973922,200,0.583,0.000,0.583
1786157974922,200,0.189,0.000,0.189
1786157975922,200,0.691,0.000,0.691
1786157976922,200,0.200,0.000,0.200
1786157977922,200,0.217,0.000,0.217
1786157978922,200,0.323,0.000,0.323
1786157979922,200,0.118,0.000,0.118
1786157980922,200,0.848,0.000,0.848
1786157981922,200,0.116,0.000,0.116
1786157982922,200,0.220,0.000,0.220
1786157983923,200,0.598,0.000,0.598
1786157984923,200,0.096,0.000,0.096
1786157985923,200,0.241,0.000,0.240
1786157986923,200,0.414,0.000,0.414
1786157987923,200,0.098,0.000,0.098
1786157988923,200,0.108,0.000,0.108
1786157989923,200,0.454,0.000,0.453
1786157990923,200,0.129,0.000,0.129
1786157991923,200,0.109,0.000,0.109
1786157992923,200,0.442,0.000,0.442
1786157993923,200,0.254,0.000,0.254
1786157994923,200,0.122,0.000,0.122
1786157995923,200,0.881,0.000,0.881
1786157996924,200,0.137,0.000,0.137
1786157997924,200,0.102,0.000,0.102
1786157998924,200,1.095,0.000,1.095
1786158000019,200,0.213,0.000,0.213
1786158001019,200,0.193,0.000,0.193
1786158002019,200,0.181,0.000,0.181
1786158003019,200,0.737,0.000,0.737
1786158004019,200,0.106,0.000,0.106
1786158005019,200,0.118,0.000,0.118
1786158006019,200,0.159,0.000,0.159
1786158007019,200,0.411,0.000,0.411
1786158008019,200,0.096,0.000,0.096
1786158009019,200,0.197,0.000,0.197
1786158010019,200,1.028,0.000,1.028
1786158011047,200,0.151,0.000,0.151
1786158012047,200,0.140,0.000,0.140
1786158013047,200,0.131,0.000,0.131
1786158014047,200,0.097,0.000,0.097
1786158015047,200,1.034,0.000,1.034
1786158016082,200,0.104,0.000,0.104
1786158017082,200,0.161,0.000,0.161
1786158018082,200,0.162,0.000,0.161
1786158019082,200,0.183,0.000,0.183
1786158020082,200,0.144,0.000,0.144
1786158021082,200,0.160,0.000,0.160
1786158022082,200,0.107,0.000,0.107
1786158023082,200,0.151,0.000,0.151
1786158024082,200,4.542,0.000,4.542
1786158028624,200,1.278,0.000,1.278
1786158029902,200,0.129,0.000,0.129
1786158030902,200,0.691,0.000,0.690
1786158031902,200,0.114,0.000,0.114
1786158032902,200,2.488,0.000,2.488
1786158035389,200,0.151,0.000,0.151
1786158036390,200,0.153,0.000,0.153
1786158037390,200,1.120,0.000,1.120
1786158038510,200,0.177,0.000,0.177
1786158039510,200,0.100,0.000,0.099
1786158040510,200,0.152,0.000,0.152
1786158041510,200,1.331,0.000,1.330
1786158042841,200,0.125,0.000,0.125
1786158043841,200,0.248,0.000,0.248
1786158044841,200,0.166,0.000,0.166
1786158045841,200,0.252,0.000,0.252
1786158046841,200,0.221,0.000,0.221
1786158047841,200,0.221,0.000,0.221
1786158048841,200,0.154,0.000,0.154
1786158049841,200,0.574,0.000,0.574
1786158050841,200,0.230,0.000,0.230
1786158051841,200,0.649,0.000,0.649
1786158052841,200,0.144,0.000,0.144
1786158053841,200,0.175,0.000,0.175
1786158054841,200,0.159,0.000,0.159
1786158055842,200,0.115,0.000,0.115
1786158056842,200,0.531,0.000,0.530
1786158057842,200,0.233,0.000,0.233
1786158058842,200,0.234,0.000,0.234
1786158059842,200,0.220,0.000,0.220
1786158060842,200,0.217,0.000,0.217
1786158061842,200,4.901,0.000,4.901
1786158066743,200,0.098,0.000,0.098
1786158067743,200,0.364,0.000,0.364
1786158068743,200,0.204,0.000,0.204
1786158069743,200,0.283,0.000,0.283
1786158070743,000,5.005,0.000,0.000
1786158075748,200,2.144,0.000,2.144
1786158077892,200,0.183,0.000,0.183
1786158078892,200,1.579,0.000,1.579
1786158080472,200,0.172,0.000,0.172
1786158081472,200,0.439,0.000,0.439
1786158082472,200,0.106,0.000,0.106
1786158083472,200,0.179,0.000,0.179
1786158084472,200,0.199,0.000,0.199
1786158085472,200,0.171,0.000,0.171
1786158086472,200,0.201,0.000,0.201
1786158087472,200,0.427,0.000,0.427
1786158088472,200,0.101,0.000,0.101
1786158089472,200,0.098,0.000,0.098
1786158090472,200,0.339,0.000,0.339
1786158091472,200,3.545,0.000,3.545
1786158095018,200,0.127,0.000,0.127
1786158096018,200,3.825,0.000,3.825
1786158099843,200,0.185,0.000,0.185
1786158100843,200,4.033,0.000,4.033
1786158104877,200,4.221,0.000,4.221
1786158109097,000,5.005,0.000,0.000
1786158114102,200,4.361,0.000,4.361
1786158118463,200,2.970,0.000,2.970
1786158121433,200,0.169,0.000,0.169
1786158122433,200,0.458,0.000,0.458
1786158123433,200,0.169,0.000,0.169
1786158124433,200,0.170,0.000,0.170
1786158125434,200,0.662,0.000,0.662
1786158126434,200,0.247,0.000,0.246
1786158127434,200,0.104,0.000,0.104
1786158128434,200,0.224,0.000,0.224
1786158129434,200,0.682,0.000,0.682
1786158130434,200,0.177,0.000,0.177
1786158131434,200,0.160,0.000,0.160
1786158132434,200,0.143,0.000,0.143
1786158133434,200,0.909,0.000,0.909
1786158134434,200,0.179,0.000,0.179
1786158135434,200,0.171,0.000,0.171
1786158136434,200,0.099,0.000,0.099
1786158137434,200,0.116,0.000,0.115
1786158138434,200,0.145,0.000,0.145
1786158139435,200,0.169,0.000,0.169
1786158140435,200,0.142,0.000,0.142
1786158141435,200,0.152,0.000,0.152
1786158142435,200,0.422,0.000,0.422
1786158143435,200,0.170,0.000,0.170
1786158144435,200,0.116,0.000,0.116
1786158145435,200,0.144,0.000,0.144
1786158146435,200,0.811,0.000,0.811
1786158147435,200,0.198,0.000,0.198
1786158148435,200,0.190,0.000,0.190
1786158149435,200,0.247,0.000,0.247
1786158150435,200,0.206,0.000,0.206
1786158151435,200,0.261,0.000,0.261
1786158152436,200,0.102,0.000,0.102
1786158153436,200,0.183,0.000,0.183
1786158154436,200,0.177,0.000,0.177
1786158155436,200,0.781,0.000,0.781
1786158156436,200,0.191,0.000,0.191
1786158157436,200,0.168,0.000,0.168
1786158158436,200,0.164,0.000,0.164
1786158159436,200,0.161,0.000,0.161
1786158160436,200,0.622,0.000,0.622
1786158161436,200,0.099,0.000,0.099
1786158162436,200,0.233,0.000,0.233
1786158163436,200,0.136,0.000,0.136
1786158164436,200,0.133,0.000,0.133
1786158165436,200,0.306,0.000,0.306
