epoch_ms,http_code,total_s,connect_s,ttfb_s
1786421276934,200,0.011,0.001,0.011
1786421277934,200,0.035,0.000,0.035
1786421278934,200,0.039,0.000,0.039
1786421279934,200,0.011,0.000,0.011
1786421280935,200,0.018,0.000,0.018
1786421281935,200,0.014,0.000,0.014
1786421282935,200,0.174,0.000,0.173
1786421283935,200,0.009,0.000,0.009
1786421284935,200,0.025,0.000,0.025
1786421285935,200,0.069,0.000,0.069
1786421286935,200,0.093,0.000,0.093
1786421287935,200,0.111,0.000,0.111
1786421288935,200,0.167,0.000,0.167
1786421289935,200,0.009,0.000,0.009
1786421290936,200,0.009,0.000,0.009
1786421291936,200,0.020,0.000,0.020
1786421292936,200,0.131,0.000,0.131
1786421293936,200,0.013,0.000,0.013
1786421294936,200,0.028,0.000,0.028
1786421295936,200,0.009,0.000,0.009
1786421296936,200,0.097,0.000,0.097
1786421297936,200,0.012,0.000,0.012
1786421298936,200,0.194,0.000,0.194
1786421299937,200,0.044,0.000,0.044
1786421300937,200,0.010,0.000,0.010
1786421301937,200,0.177,0.000,0.177
1786421302937,200,0.044,0.000,0.044
1786421303937,200,0.011,0.000,0.011
1786421304937,200,0.256,0.000,0.256
1786421305937,200,0.143,0.000,0.143
1786421306937,200,0.095,0.000,0.095
1786421307937,200,0.008,0.000,0.008
1786421308937,200,0.015,0.000,0.015
1786421309938,200,0.011,0.000,0.011
1786421310938,200,0.243,0.000,0.243
1786421311938,200,0.191,0.000,0.191
1786421312938,200,0.148,0.000,0.148
1786421313938,200,0.104,0.000,0.104
1786421314938,200,0.008,0.000,0.008
1786421315938,200,0.015,0.000,0.015
1786421316938,200,0.179,0.000,0.178
1786421317938,200,0.085,0.000,0.085
1786421318938,200,0.009,0.000,0.009
1786421319938,200,0.013,0.000,0.013
1786421320939,200,0.016,0.000,0.016
1786421321939,200,0.219,0.000,0.219
1786421322939,200,0.157,0.000,0.157
1786421323939,200,0.075,0.000,0.075
1786421324939,200,0.021,0.000,0.021
1786421325939,200,0.009,0.000,0.008
1786421326939,200,0.012,0.000,0.012
1786421327939,200,0.011,0.000,0.011
1786421328939,200,0.012,0.000,0.012
1786421329939,200,0.008,0.000,0.008
1786421330939,200,0.273,0.000,0.273
1786421331940,200,0.278,0.000,0.278
1786421332940,200,0.266,0.000,0.266
1786421333940,200,0.072,0.000,0.072
1786421334940,200,0.041,0.000,0.041
1786421335940,200,0.155,0.000,0.155
1786421336940,200,0.290,0.000,0.290
1786421337940,200,0.012,0.000,0.012
1786421338940,200,0.037,0.000,0.037
1786421339940,200,0.196,0.000,0.196
1786421340940,200,0.360,0.000,0.360
1786421341941,200,0.011,0.000,0.011
1786421342941,200,0.107,0.000,0.107
1786421343941,200,0.260,0.000,0.260
1786421344941,200,0.009,0.000,0.009
1786421345941,200,0.038,0.000,0.038
1786421346941,200,0.220,0.000,0.220
1786421347941,200,0.010,0.000,0.010
1786421348941,200,0.038,0.000,0.038
1786421349941,200,0.226,0.000,0.226
1786421350941,200,0.011,0.000,0.011
1786421351942,200,0.075,0.000,0.075
1786421352942,200,0.279,0.000,0.279
1786421353942,200,0.012,0.000,0.012
1786421354942,200,3.128,0.000,3.128
1786421358070,200,1.885,0.000,1.884
1786421359955,200,1.423,0.000,1.423
1786421361377,200,2.513,0.000,2.513
1786421363890,200,0.618,0.000,0.618
1786421364890,200,0.075,0.000,0.075
1786421365890,200,0.338,0.000,0.338
1786421366890,200,0.008,0.000,0.008
1786421367890,200,0.305,0.000,0.305
1786421368890,200,0.014,0.000,0.014
1786421369890,200,0.326,0.000,0.326
1786421370890,200,0.010,0.000,0.010
1786421371891,200,0.346,0.000,0.346
1786421372891,200,0.038,0.000,0.038
1786421373891,200,0.448,0.000,0.448
1786421374891,200,0.139,0.000,0.139
1786421375891,200,0.013,0.000,0.013
1786421376891,200,0.470,0.000,0.470
1786421377891,200,0.322,0.000,0.322
1786421378891,200,0.124,0.000,0.124
1786421379891,200,0.405,0.000,0.405
1786421380891,200,0.020,0.000,0.020
1786421381892,200,0.338,0.000,0.338
1786421382892,200,0.009,0.000,0.009
1786421383892,200,0.434,0.000,0.434
1786421384892,200,0.082,0.000,0.082
1786421385892,200,0.012,0.000,0.012
1786421386892,200,0.240,0.000,0.240
1786421387892,200,0.010,0.000,0.010
1786421388892,200,0.009,0.000,0.009
1786421389892,200,0.350,0.000,0.350
1786421390892,200,0.238,0.000,0.238
1786421391893,200,0.076,0.000,0.075
1786421392893,200,0.017,0.000,0.017
1786421393893,200,0.018,0.000,0.018
1786421394893,200,0.011,0.000,0.011
1786421395893,200,0.010,0.000,0.010
1786421396893,200,0.013,0.000,0.013
1786421397893,200,0.014,0.000,0.014
1786421398893,200,0.010,0.000,0.010
1786421399893,200,0.010,0.000,0.010
1786421400893,200,0.065,0.000,0.065
