epoch_ms,http_code,total_s,connect_s,ttfb_s
1786405081847,200,0.009,0.001,0.009
1786405082847,200,0.008,0.000,0.008
1786405083847,200,0.008,0.000,0.008
1786405084847,200,0.008,0.000,0.008
1786405085847,200,0.009,0.000,0.009
1786405086848,200,0.010,0.000,0.010
1786405087848,200,0.012,0.000,0.012
1786405088848,200,0.104,0.000,0.104
1786405089848,200,0.010,0.000,0.010
1786405090848,200,0.008,0.000,0.008
1786405091848,200,0.012,0.000,0.012
1786405092848,200,0.015,0.000,0.015
1786405093848,200,0.031,0.000,0.031
1786405094848,200,0.072,0.000,0.072
1786405095848,200,0.159,0.000,0.159
1786405096848,200,0.012,0.000,0.012
1786405097849,200,0.033,0.000,0.033
1786405098849,200,0.161,0.000,0.161
1786405099849,200,0.012,0.000,0.012
1786405100849,200,0.059,0.000,0.059
1786405101849,200,0.013,0.000,0.013
1786405102849,200,0.059,0.000,0.059
1786405103849,200,0.011,0.000,0.011
1786405104849,200,0.068,0.000,0.068
1786405105849,200,0.012,0.000,0.012
1786405106849,200,0.143,0.000,0.143
1786405107849,200,0.008,0.000,0.008
1786405108850,200,0.221,0.000,0.221
1786405109850,200,0.071,0.000,0.071
1786405110850,200,0.011,0.000,0.011
1786405111850,200,0.169,0.000,0.169
1786405112850,200,0.042,0.000,0.042
1786405113850,200,0.013,0.000,0.013
1786405114850,200,0.174,0.000,0.174
1786405115850,200,0.060,0.000,0.060
1786405116850,200,0.012,0.000,0.012
1786405117850,200,0.247,0.000,0.247
1786405118850,200,0.120,0.000,0.120
1786405119851,200,0.018,0.000,0.018
1786405120851,200,0.008,0.000,0.008
1786405121851,200,0.279,0.000,0.279
1786405122851,200,0.180,0.000,0.180
1786405123851,200,0.099,0.000,0.099
1786405124851,200,0.021,0.000,0.021
1786405125851,200,0.020,0.000,0.020
1786405126851,200,0.009,0.000,0.009
1786405127851,200,0.008,0.000,0.008
1786405128851,200,0.010,0.000,0.010
1786405129851,200,0.015,0.000,0.015
1786405130852,200,0.120,0.000,0.120
1786405131852,200,0.268,0.000,0.268
1786405132852,200,0.012,0.000,0.012
1786405133852,200,0.021,0.000,0.021
1786405134852,200,0.163,0.000,0.163
1786405135852,200,0.303,0.000,0.303
1786405136852,200,0.011,0.000,0.011
1786405137852,200,0.107,0.000,0.107
1786405138852,200,0.289,0.000,0.289
1786405139852,200,0.012,0.000,0.012
1786405140853,200,0.071,0.000,0.071
1786405141853,200,0.308,0.000,0.308
1786405142853,200,0.012,0.000,0.012
1786405143853,200,0.131,0.000,0.131
1786405144853,200,0.393,0.000,0.393
1786405145853,200,0.017,0.000,0.017
1786405146853,200,0.272,0.000,0.272
1786405147853,200,0.011,0.000,0.011
1786405148853,200,0.162,0.000,0.162
1786405149853,200,0.014,0.000,0.014
1786405150853,200,0.144,0.000,0.144
1786405151853,000,5.005,0.000,0.000
1786405156858,000,5.005,0.000,0.000
1786405161864,000,5.005,0.000,0.000
1786405166869,200,1.961,0.000,1.961
1786405168830,200,0.006,0.000,0.006
1786405169830,200,0.112,0.000,0.112
1786405170830,200,0.011,0.000,0.011
1786405171830,200,0.053,0.000,0.053
1786405172831,200,0.241,0.000,0.241
1786405173831,200,0.473,0.000,0.473
1786405174831,200,0.071,0.000,0.071
1786405175831,200,0.289,0.000,0.289
1786405176831,200,0.011,0.000,0.011
1786405177831,200,0.139,0.000,0.139
1786405178831,200,0.359,0.000,0.359
1786405179831,200,0.029,0.000,0.029
1786405180831,200,0.220,0.000,0.220
1786405181831,200,0.463,0.000,0.463
1786405182831,200,0.087,0.000,0.087
1786405183832,200,0.296,0.000,0.296
1786405184832,200,0.008,0.000,0.008
1786405185832,200,0.159,0.000,0.159
1786405186832,200,0.010,0.000,0.010
1786405187832,200,0.008,0.000,0.008
1786405188832,200,0.315,0.000,0.315
1786405189832,200,0.357,0.000,0.357
1786405190832,200,0.292,0.000,0.292
1786405191832,200,0.007,0.000,0.007
1786405192832,200,0.066,0.000,0.066
1786405193832,200,0.241,0.000,0.241
1786405194832,200,0.211,0.000,0.211
1786405195833,200,0.203,0.000,0.203
1786405196833,200,0.230,0.000,0.230
1786405197833,200,0.299,0.000,0.298
