epoch_ms,total_s,http_code
1786474207352,0.032,200
1786474208353,0.088,200
1786474209353,0.034,200
1786474210353,0.008,200
1786474211353,0.095,200
1786474212353,0.029,200
1786474213353,0.024,200
1786474214353,0.087,200
1786474215354,0.014,200
1786474216354,0.063,200
1786474217354,0.012,200
1786474218354,0.065,200
1786474219354,0.011,200
1786474220354,0.011,200
1786474221355,0.022,200
1786474222355,0.111,200
1786474223355,0.009,200
1786474224355,0.015,200
1786474225355,1.000,200
1786474226355,0.293,200
1786474227355,0.028,200
1786474228356,0.031,200
1786474229356,0.010,200
1786474230356,0.072,200
1786474231356,0.008,200
1786474232356,0.074,200
1786474233356,0.025,200
1786474234356,0.019,200
1786474235357,0.008,200
1786474236357,0.048,200
1786474237357,0.018,200
1786474238357,0.044,200
1786474239357,0.009,200
1786474240357,0.041,200
1786474241358,0.089,200
1786474242358,0.025,200
1786474243358,0.088,200
1786474244358,0.063,200
1786474245358,0.021,200
1786474246358,0.020,200
1786474247358,0.655,200
1786474248359,0.032,200
1786474249359,0.036,200
1786474250359,0.038,200
1786474251359,0.024,200
1786474252359,0.013,200
1786474253359,0.018,200
1786474254360,0.018,200
1786474255360,0.021,200
1786474256360,0.023,200
1786474257360,0.009,200
1786474258360,0.027,200
1786474259360,0.020,200
1786474260361,0.019,200
1786474261361,0.017,200
1786474262361,0.068,200
1786474263361,0.024,200
1786474264361,0.008,200
1786474265361,0.009,200
1786474266361,0.012,200
1786474267362,0.029,200
1786474268362,0.911,200
1786474269362,0.011,200
1786474270362,0.106,200
1786474271362,0.088,200
1786474272362,0.009,200
1786474273362,0.023,200
1786474274362,0.030,200
1786474275363,0.009,200
1786474276363,0.023,200
1786474277363,0.013,200
1786474278363,0.009,200
1786474279363,0.024,200
1786474280363,0.016,200
1786474281364,0.023,200
1786474282364,0.040,200
1786474283364,0.012,200
1786474284364,0.021,200
1786474285364,0.007,200
1786474286364,0.070,200
1786474287364,0.020,200
1786474288365,0.023,200
1786474289365,0.817,200
1786474290365,0.183,200
1786474291365,0.030,200
1786474292365,0.036,200
1786474293365,0.030,200
1786474294366,0.009,200
1786474295366,0.037,200
1786474296366,0.010,200
1786474297366,0.039,200
1786474298366,0.024,200
1786474299366,0.018,200
1786474300367,0.017,200
1786474301367,0.031,200
1786474302367,0.099,200
1786474303367,0.008,200
1786474304367,0.034,200
1786474305367,0.018,200
1786474306368,0.073,200
1786474307368,0.017,200
1786474308368,0.010,200
1786474309368,0.027,200
1786474310368,1.075,200
1786474311444,0.065,200
1786474312444,0.012,200
1786474313444,0.032,200
1786474314444,0.008,200
1786474315444,0.018,200
1786474316445,0.038,200
1786474317445,0.018,200
1786474318445,0.265,200
1786474319445,0.043,200
1786474320445,0.282,200
1786474321445,0.178,200
1786474322445,0.149,200
1786474323446,0.129,200
1786474324446,0.045,200
1786474325446,0.011,200
1786474326446,0.289,200
1786474327446,0.270,200
1786474328446,0.245,200
1786474329446,0.158,200
1786474330447,0.141,200
1786474331447,0.221,200
1786474332447,0.230,200
1786474333447,0.244,200
1786474334447,0.008,200
1786474335447,0.055,200
1786474336448,0.034,200
1786474337448,0.317,200
1786474338448,0.230,200
1786474339448,0.197,200
1786474340448,0.184,200
1786474341448,0.091,200
1786474342449,0.046,200
1786474343449,0.012,200
1786474344449,0.277,200
1786474345449,0.181,200
1786474346449,0.115,200
1786474347449,0.322,200
1786474348449,0.231,200
1786474349450,0.226,200
1786474350450,0.196,200
1786474351450,0.117,200
1786474352450,0.104,200
1786474353450,0.009,200
1786474354450,0.286,200
1786474355450,0.012,200
1786474356451,0.289,200
1786474357451,0.188,200
1786474358451,0.158,200
1786474359451,0.137,200
1786474360451,0.029,200
1786474361451,0.104,200
1786474362451,0.091,200
1786474363452,0.122,200
1786474364452,0.102,200
1786474365452,0.013,200
1786474366452,0.214,200
1786474367452,0.124,200
1786474368452,0.107,200
