poll_index,http_status,elapsed_s,error
0,200,0.248,
1,200,0.132,
2,200,0.206,
3,200,0.097,
4,200,0.252,
5,200,0.160,
6,200,0.099,
7,200,0.168,
8,200,0.104,
9,200,0.265,
10,200,0.105,
11,200,0.100,
12,200,0.100,
13,200,0.490,
14,200,0.303,
15,200,1.032,
16,200,0.153,
17,200,0.237,
18,200,0.699,
19,200,0.134,
20,200,0.162,
21,200,0.840,
22,200,0.165,
23,200,0.289,
24,200,0.443,
25,200,0.120,
26,200,0.498,
27,200,0.123,
28,200,0.167,
29,200,0.122,
30,200,0.599,
31,200,1.024,
32,200,0.163,
33,200,0.179,
34,200,0.553,
35,200,0.136,
36,200,0.709,
37,200,0.164,
38,200,0.669,
39,200,0.261,
40,200,0.203,
41,200,0.288,
42,200,0.258,
43,200,1.021,
44,200,0.590,
45,200,0.436,
46,200,0.564,
47,200,1.036,
48,200,0.489,
49,200,0.485,
50,200,0.692,
51,200,1.504,
52,200,0.880,
53,200,0.830,
54,200,0.924,
55,200,1.054,
56,200,0.784,
57,200,0.468,
58,200,0.186,
59,200,0.589,
60,200,1.163,
61,200,1.203,
62,200,1.038,
63,200,1.047,
64,200,1.053,
65,200,0.997,
66,200,1.333,
67,200,1.637,
68,200,1.875,
69,200,1.477,
70,200,1.242,
71,200,1.338,
72,200,0.259,
73,200,0.242,
74,200,0.610,
75,200,0.507,
76,200,0.731,
77,200,0.488,
78,200,1.827,
79,200,1.107,
80,200,1.059,
81,200,0.210,
82,200,1.816,
83,200,1.825,
84,200,2.079,
85,200,2.128,
86,200,1.990,
87,200,2.032,
88,200,0.375,
89,200,0.207,
90,200,2.131,
91,200,2.130,
92,200,1.770,
93,200,0.614,
94,200,1.409,
95,200,2.187,
96,200,2.046,
97,200,2.441,
98,200,3.646,
99,200,1.686,
100,200,1.427,
101,200,1.724,
102,200,2.314,
103,200,1.965,
104,200,0.296,
105,200,0.161,
106,200,0.136,
107,200,0.117,
108,200,0.535,
109,200,0.218,
110,200,0.153,
111,200,0.150,
112,200,0.200,
113,200,0.398,
114,200,0.715,
115,200,0.644,
116,200,0.145,
117,200,0.230,
118,200,0.122,
119,200,0.257,
120,200,0.162,
121,200,0.662,
122,200,0.775,
123,200,0.124,
124,200,0.145,
125,200,0.369,
126,200,0.926,
127,200,0.141,
128,200,0.480,
129,200,0.137,
130,200,0.509,
131,200,0.134,
132,200,0.542,
133,200,0.137,
134,200,0.531,
135,200,0.134,
136,200,0.523,
137,200,0.135,
138,200,0.536,
139,200,0.140,
140,200,0.591,
141,200,0.144,
142,200,0.624,
143,200,0.136,
144,200,0.554,
145,200,0.976,
146,200,0.137,
147,200,0.508,
148,200,0.137,
149,200,0.523,
150,200,0.140,
151,200,0.497,
152,200,0.136,
153,200,0.438,
154,200,0.138,
155,200,0.523,
156,200,0.137,
157,200,0.456,
158,200,0.144,
159,200,0.481,
160,200,0.139,
161,200,0.508,
162,200,0.136,
163,200,0.515,
164,200,0.142,
165,200,0.540,
166,200,0.145,
167,200,0.532,
168,200,0.136,
169,200,0.513,
170,200,0.934,
171,200,0.138,
172,200,0.538,
173,200,0.136,
174,200,0.498,
175,200,0.136,
176,200,0.508,
177,200,0.146,
178,200,0.491,
179,200,0.144,
180,200,0.522,
181,200,0.141,
182,200,0.485,
183,200,0.139,
184,200,0.471,
185,200,0.140,
186,200,0.454,
187,200,0.135,
188,200,0.525,
189,200,0.138,
190,200,0.512,
191,200,0.971,
192,200,0.144,
193,200,0.482,
194,200,0.136,
195,200,0.507,
196,200,0.146,
197,200,0.495,
198,200,0.140,
199,200,0.513,
200,200,0.139,
201,200,0.476,
202,200,0.137,
203,200,0.501,
204,200,0.140,
205,200,0.476,
206,200,0.146,
207,200,0.522,
208,200,0.152,
209,200,0.445,
210,200,0.136,
211,200,0.543,
212,200,0.888,
213,200,0.134,
214,200,0.514,
215,200,0.131,
216,200,0.509,
217,200,0.139,
218,200,0.446,
219,200,0.141,
220,200,0.509,
221,200,0.144,
222,200,0.531,
223,200,0.140,
224,200,0.541,
225,200,0.138,
226,200,0.531,
227,200,0.142,
228,200,0.541,
229,200,0.948,
230,200,0.148,
231,200,0.468,
232,200,0.138,
233,200,0.539,
234,200,0.139,
235,200,0.469,
236,200,0.969,
237,200,0.136,
238,200,0.462,
239,200,0.134,
240,200,0.478,
241,200,0.141,
242,200,0.502,
243,200,0.138,
244,200,0.524,
245,200,0.137,
246,200,0.478,
247,200,0.137,
248,200,0.479,
249,200,0.135,
250,200,0.468,
251,200,0.141,
252,200,0.535,
253,200,0.133,
254,200,0.495,
255,200,0.146,
256,200,0.486,
257,200,0.140,
258,200,0.507,
259,200,0.136,
260,200,0.542,
261,200,0.135,
262,200,0.536,
263,200,0.962,
264,200,0.142,
265,200,0.469,
266,200,0.139,
267,200,0.505,
268,200,0.141,
269,200,0.514,
270,200,0.136,
271,200,0.502,
272,200,0.138,
273,200,0.480,
274,200,0.138,
275,200,0.586,
276,200,0.135,
277,200,0.515,
278,200,0.136,
279,200,0.460,
280,200,0.135,
281,200,0.486,
282,200,0.151,
283,200,0.495,
284,200,0.140,
285,200,0.566,
286,200,0.137,
287,200,0.522,
288,200,0.134,
289,200,0.561,
290,200,0.967,
291,200,0.142,
292,200,0.510,
293,200,0.144,
294,200,0.519,
295,200,0.135,
296,200,0.528,
297,200,0.923,
298,200,0.132,
299,200,0.513,
300,200,0.144,
301,200,0.505,
302,200,0.134,
303,200,0.516,
304,200,0.139,
305,200,0.546,
306,200,0.137,
307,200,0.492,
308,200,0.135,
309,200,0.500,
310,200,0.136,
311,200,0.538,
312,200,0.137,
313,200,0.517,
314,200,0.137,
315,200,0.509,
316,200,0.135,
317,200,0.560,
318,200,0.134,
319,200,0.518,
320,200,0.140,
321,200,0.530,
322,200,0.928,
323,200,0.133,
324,200,0.521,
325,200,0.137,
326,200,0.532,
327,200,0.139,
328,200,0.484,
329,200,0.143,
330,200,0.445,
331,200,0.139,
332,200,0.546,
333,200,0.147,
334,200,0.514,
335,200,0.916,
336,200,0.135,
337,200,0.500,
338,200,0.133,
339,200,0.525,
340,200,0.141,
341,200,0.507,
342,200,0.138,
343,200,0.503,
344,200,0.135,
345,200,0.556,
346,200,0.138,
347,200,0.550,
348,200,0.141,
349,200,0.544,
350,200,0.139,
351,200,0.520,
352,200,0.141,
353,200,0.544,
354,200,0.287,
355,200,0.335,
356,200,0.136,
357,200,0.554,
358,200,0.887,
359,200,0.143,
360,200,0.540,
361,200,0.134,
362,200,0.454,
363,200,0.138,
364,200,0.511,
365,200,0.149,
366,200,0.497,
367,200,1.086,
368,200,0.185,
369,200,1.951,
370,200,0.979,
371,200,0.750,
372,200,0.714,
373,200,0.985,
374,200,0.770,
375,200,1.027,
376,200,1.460,
377,200,0.233,
378,200,0.149,
379,200,0.250,
380,200,0.222,
381,200,0.304,
382,200,0.190,
383,200,0.176,
384,200,0.148,
385,200,0.244,
386,200,0.218,
387,200,0.286,
388,200,0.326,
389,200,0.114,
390,200,0.290,
391,200,0.203,
392,200,0.137,
393,200,0.117,
394,200,0.179,
395,200,0.306,
396,200,0.183,
397,200,0.457,
398,200,0.148,
399,200,0.133,
400,200,0.152,
401,200,0.158,
402,200,0.286,
403,200,0.598,
404,200,0.963,
405,200,0.308,
406,200,0.214,
407,200,0.336,
408,200,0.305,
409,200,0.360,
410,200,0.651,
411,200,0.533,
412,200,0.139,
413,200,0.125,
414,200,0.671,
415,200,1.066,
416,200,0.920,
417,200,0.828,
418,200,1.218,
419,200,0.701,
420,200,1.219,
421,200,0.131,
422,200,0.174,
423,200,0.243,
424,200,0.181,
425,200,0.180,
426,200,0.229,
427,200,0.424,
428,200,0.139,
429,200,0.222,
430,200,0.284,
431,200,0.212,
432,200,0.153,
433,200,0.293,
434,200,0.242,
435,200,0.242,
436,200,0.225,
437,200,0.118,
438,200,0.119,
